 Execucao1 Execucao2 Execucao3 Execucao4 Execucao5 Execucao6 Execucao7 Execucao8 Execucao9 Execucao10 Media Melhor 
1ªMelhorApt -10,4588 -16,3393 -16,8136 -14,7667 -7,477 -16,1902 -14,5439 -15,9809 -16,8759 -16,5015 -14,5948 -16,8759 
2ªMelhorApt -10,4588 -16,7522 -16,8136 -14,7667 -16,8635 -16,1902 -16,5269 -15,9809 -16,8759 -16,5015 -15,773 -16,8759 
3ªMelhorApt -16,6537 -16,7522 -16,8136 -15,4034 -16,8635 -16,1902 -16,5269 -16,3723 -16,8759 -16,7522 -16,5204 -16,8759 
4ªMelhorApt -16,6537 -16,8136 -16,8136 -16,3393 -16,8635 -16,1902 -16,7388 -16,3723 -16,8759 -16,7522 -16,6413 -16,8759 
5ªMelhorApt -16,6537 -16,8594 -16,8136 -16,3393 -16,8759 -16,1902 -16,7388 -16,3723 -16,8759 -16,7522 -16,6471 -16,8759 
6ªMelhorApt -16,6537 -16,8594 -16,8222 -16,8759 -16,8759 -16,6537 -16,7388 -16,3723 -16,8759 -16,7522 -16,748 -16,8759 
7ªMelhorApt -16,6537 -16,8594 -16,8759 -16,8759 -16,8759 -16,6537 -16,7388 -16,8136 -16,8759 -16,7522 -16,7975 -16,8759 
8ªMelhorApt -16,6537 -16,8594 -16,8759 -16,8759 -16,8759 -16,6537 -16,8635 -16,8136 -16,8759 -16,8759 -16,8223 -16,8759 
9ªMelhorApt -16,6537 -16,8594 -16,8759 -16,8759 -16,8759 -16,6537 -16,8635 -16,8136 -16,8759 -16,8759 -16,8223 -16,8759 
10ªMelhorApt -16,6537 -16,8635 -16,8759 -16,8759 -16,8759 -16,6537 -16,8635 -16,8759 -16,8759 -16,8759 -16,829 -16,8759 
11ªMelhorApt -16,6537 -16,8635 -16,8759 -16,8759 -16,8759 -16,6537 -16,8635 -16,8759 -16,8759 -16,8759 -16,829 -16,8759 
12ªMelhorApt -16,6537 -16,8635 -16,8759 -16,8759 -16,8759 -16,6537 -16,8635 -16,8759 -16,8759 -16,8759 -16,829 -16,8759 
13ªMelhorApt -16,6537 -16,8635 -16,8759 -16,8759 -16,8759 -16,6537 -16,8635 -16,8759 -16,8759 -16,8759 -16,829 -16,8759 
14ªMelhorApt -16,6537 -16,8635 -16,8759 -16,8759 -16,8759 -16,6537 -16,8759 -16,8759 -16,8759 -16,8759 -16,8302 -16,8759 
15ªMelhorApt -16,6537 -16,8635 -16,8759 -16,8759 -16,8759 -16,6537 -16,8759 -16,8759 -16,8759 -16,8759 -16,8302 -16,8759 
16ªMelhorApt -16,6537 -16,8635 -16,8759 -16,8759 -16,8759 -16,6537 -16,8759 -16,8759 -16,8759 -16,8759 -16,8302 -16,8759 
17ªMelhorApt -16,6537 -16,8759 -16,8759 -16,8759 -16,8759 -16,6537 -16,8759 -16,8759 -16,8759 -16,8759 -16,8315 -16,8759 
18ªMelhorApt -16,6537 -16,8759 -16,8759 -16,8759 -16,8759 -16,6537 -16,8759 -16,8759 -16,8759 -16,8759 -16,8315 -16,8759 
19ªMelhorApt -16,6537 -16,8759 -16,8759 -16,8759 -16,8759 -16,6537 -16,8759 -16,8759 -16,8759 -16,8759 -16,8315 -16,8759 
20ªMelhorApt -16,6537 -16,8759 -16,8759 -16,8759 -16,8759 -16,6537 -16,8759 -16,8759 -16,8759 -16,8759 -16,8315 -16,8759 
