 Execucao1 Execucao2 Execucao3 Execucao4 Execucao5 Execucao6 Execucao7 Execucao8 Execucao9 Execucao10 Media Melhor 
1ªMelhorApt -14,7667 -16,8635 -10,9704 -16,3723 -8,9232 -11,6447 -2,1003 -13,0076 -13,6189 -15,4034 -12,3671 -16,8635 
2ªMelhorApt -14,7667 -16,8635 -10,9704 -16,6537 -9,3438 -12,8127 -4,2384 -13,6417 -14,1822 -16,8635 -13,0337 -16,8635 
3ªMelhorApt -15,0988 -16,8759 -10,9704 -16,6537 -9,3438 -12,8127 -4,2384 -13,6417 -14,1822 -16,8635 -13,0681 -16,8759 
4ªMelhorApt -16,6347 -16,8759 -11,3186 -16,6537 -9,3438 -12,8127 -4,2384 -13,6983 -16,3723 -16,8635 -13,4812 -16,8759 
5ªMelhorApt -16,8759 -16,8759 -11,3186 -16,6537 -9,3438 -12,8127 -9,6801 -13,7309 -16,3723 -16,8635 -14,0527 -16,8759 
6ªMelhorApt -16,8759 -16,8759 -12,8127 -16,6537 -9,3438 -13,0076 -9,6801 -13,7394 -16,3723 -16,8635 -14,2225 -16,8759 
7ªMelhorApt -16,8759 -16,8759 -13,0076 -16,6537 -9,3438 -13,0076 -9,8543 -13,7394 -16,3723 -16,8635 -14,2594 -16,8759 
8ªMelhorApt -16,8759 -16,8759 -13,0076 -16,6537 -9,3438 -13,1166 -9,8543 -13,7394 -16,3723 -16,8635 -14,2703 -16,8759 
9ªMelhorApt -16,8759 -16,8759 -13,1166 -16,6537 -9,3438 -13,1166 -9,8543 -13,7394 -16,3723 -16,8635 -14,2812 -16,8759 
10ªMelhorApt -16,8759 -16,8759 -13,4165 -16,6537 -9,3438 -13,4574 -9,8543 -13,7394 -16,3723 -16,8759 -14,3465 -16,8759 
